Coding System,CVX Code,NZVX Code,GP Code,CVX Short Description,vaccine status,VG_Name,Sequence RXA-2,Indication RXA-19 ,Uncertain formulation CVX,ScheduleCode,Name,Simple Description,Detailed Description,Common Responses,Rare Responses,More Information,,,,
CVX,33,,,23PPV,,,1 to 4,5,,,Pnuemonia - 23 Types,Protects against pneumococcal disease caused by 23 types of Streptococcus pneumoniae.,"NIMENRIX is a vaccine used to help prevent meningococcal disease, caused by four types of Neisseria meningitidis bacteria (types A, C, W and Y).
NIMENRIX works by causing your body to produce its own protection (or antibodies), against these types of meningococcal bacteria. NIMENRIX cannot cause meningococcal disease. The most common types of meningococcal disease are
meningitis (infection of a lining around the brain and spinal cord) and septicaemia (blood infection).  Neisseria bacteria can less commonly infect the joints, lungs or other organs.
Meningococcal disease is spread by small droplets from the nose, mouth or throat. Meningococcal disease is
generally serious and sometimes causes long-term effects (e.g. deafness, memory problems, loss of
fingers or toes), or death.
As with all vaccines, NIMENRIX may not protect all people who arevaccinated.
Also, NIMENRIX does not help to protect against meningococcal disease caused by other types of Neisseria, or meningitis caused by other bacteria or viruses. NIMENRIX can be used in infants from 6 weeks of age, children and
adults. NIMENRIX may also be prescribed for other people or situations.
If you are not sure whether you or your child should be given this vaccine, talk to your doctor.","Mild pain, redness and swelling around injection site
Fever
Children:
Irritability
Drowsiness
Decreased appetite
Adults:
Headache
Fatigue
Nausea, vomiting and/or diarrhoea","Extensive limb swelling
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/nimenrix,,,,
CVX,33,,,23PPV,,,1 to 9,6,,,Pnuemonia - 23 Types,Protects against pneumococcal disease caused by 23 types of Streptococcus pneumoniae.,"NIMENRIX is a vaccine used to help prevent meningococcal disease, caused by four types of Neisseria meningitidis bacteria (types A, C, W and Y).
NIMENRIX works by causing your body to produce its own protection (or antibodies), against these types of meningococcal bacteria. NIMENRIX cannot cause meningococcal disease. The most common types of meningococcal disease are
meningitis (infection of a lining around the brain and spinal cord) and septicaemia (blood infection).  Neisseria bacteria can less commonly infect the joints, lungs or other organs.
Meningococcal disease is spread by small droplets from the nose, mouth or throat. Meningococcal disease is
generally serious and sometimes causes long-term effects (e.g. deafness, memory problems, loss of
fingers or toes), or death.
As with all vaccines, NIMENRIX may not protect all people who arevaccinated.
Also, NIMENRIX does not help to protect against meningococcal disease caused by other types of Neisseria, or meningitis caused by other bacteria or viruses. NIMENRIX can be used in infants from 6 weeks of age, children and
adults. NIMENRIX may also be prescribed for other people or situations.
If you are not sure whether you or your child should be given this vaccine, talk to your doctor.","Mild pain, redness and swelling around injection site
Fever
Children:
Irritability
Drowsiness
Decreased appetite
Adults:
Headache
Fatigue
Nausea, vomiting and/or diarrhoea","Extensive limb swelling
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/nimenrix,,,,
CVX,33,,,23PPV,,,1 to 9,11,,,Pnuemonia - 23 Types,Protects against pneumococcal disease caused by 23 types of Streptococcus pneumoniae.,"NIMENRIX is a vaccine used to help prevent meningococcal disease, caused by four types of Neisseria meningitidis bacteria (types A, C, W and Y).
NIMENRIX works by causing your body to produce its own protection (or antibodies), against these types of meningococcal bacteria. NIMENRIX cannot cause meningococcal disease. The most common types of meningococcal disease are
meningitis (infection of a lining around the brain and spinal cord) and septicaemia (blood infection).  Neisseria bacteria can less commonly infect the joints, lungs or other organs.
Meningococcal disease is spread by small droplets from the nose, mouth or throat. Meningococcal disease is
generally serious and sometimes causes long-term effects (e.g. deafness, memory problems, loss of
fingers or toes), or death.
As with all vaccines, NIMENRIX may not protect all people who arevaccinated.
Also, NIMENRIX does not help to protect against meningococcal disease caused by other types of Neisseria, or meningitis caused by other bacteria or viruses. NIMENRIX can be used in infants from 6 weeks of age, children and
adults. NIMENRIX may also be prescribed for other people or situations.
If you are not sure whether you or your child should be given this vaccine, talk to your doctor.","Mild pain, redness and swelling around injection site
Fever
Children:
Irritability
Drowsiness
Decreased appetite
Adults:
Headache
Fatigue
Nausea, vomiting and/or diarrhoea","Extensive limb swelling
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/nimenrix,,,,
CVX,33,,,23PPV,,,1 to 2,12,,,Pnuemonia - 23 Types,Protects against pneumococcal disease caused by 23 types of Streptococcus pneumoniae.,"NIMENRIX is a vaccine used to help prevent meningococcal disease, caused by four types of Neisseria meningitidis bacteria (types A, C, W and Y).
NIMENRIX works by causing your body to produce its own protection (or antibodies), against these types of meningococcal bacteria. NIMENRIX cannot cause meningococcal disease. The most common types of meningococcal disease are
meningitis (infection of a lining around the brain and spinal cord) and septicaemia (blood infection).  Neisseria bacteria can less commonly infect the joints, lungs or other organs.
Meningococcal disease is spread by small droplets from the nose, mouth or throat. Meningococcal disease is
generally serious and sometimes causes long-term effects (e.g. deafness, memory problems, loss of
fingers or toes), or death.
As with all vaccines, NIMENRIX may not protect all people who arevaccinated.
Also, NIMENRIX does not help to protect against meningococcal disease caused by other types of Neisseria, or meningitis caused by other bacteria or viruses. NIMENRIX can be used in infants from 6 weeks of age, children and
adults. NIMENRIX may also be prescribed for other people or situations.
If you are not sure whether you or your child should be given this vaccine, talk to your doctor.","Mild pain, redness and swelling around injection site
Fever
Children:
Irritability
Drowsiness
Decreased appetite
Adults:
Headache
Fatigue
Nausea, vomiting and/or diarrhoea","Extensive limb swelling
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/nimenrix,,,,
CVX,33,,,23PPV,,,1 to 2,13,,,Pnuemonia - 23 Types,Protects against pneumococcal disease caused by 23 types of Streptococcus pneumoniae.,"NIMENRIX is a vaccine used to help prevent meningococcal disease, caused by four types of Neisseria meningitidis bacteria (types A, C, W and Y).
NIMENRIX works by causing your body to produce its own protection (or antibodies), against these types of meningococcal bacteria. NIMENRIX cannot cause meningococcal disease. The most common types of meningococcal disease are
meningitis (infection of a lining around the brain and spinal cord) and septicaemia (blood infection).  Neisseria bacteria can less commonly infect the joints, lungs or other organs.
Meningococcal disease is spread by small droplets from the nose, mouth or throat. Meningococcal disease is
generally serious and sometimes causes long-term effects (e.g. deafness, memory problems, loss of
fingers or toes), or death.
As with all vaccines, NIMENRIX may not protect all people who arevaccinated.
Also, NIMENRIX does not help to protect against meningococcal disease caused by other types of Neisseria, or meningitis caused by other bacteria or viruses. NIMENRIX can be used in infants from 6 weeks of age, children and
adults. NIMENRIX may also be prescribed for other people or situations.
If you are not sure whether you or your child should be given this vaccine, talk to your doctor.","Mild pain, redness and swelling around injection site
Fever
Children:
Irritability
Drowsiness
Decreased appetite
Adults:
Headache
Fatigue
Nausea, vomiting and/or diarrhoea","Extensive limb swelling
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/nimenrix,,,,
CVX,33,,,23PPV,,,1 to 2,14,,,Pnuemonia - 23 Types,Protects against pneumococcal disease caused by 23 types of Streptococcus pneumoniae.,"NIMENRIX is a vaccine used to help prevent meningococcal disease, caused by four types of Neisseria meningitidis bacteria (types A, C, W and Y).
NIMENRIX works by causing your body to produce its own protection (or antibodies), against these types of meningococcal bacteria. NIMENRIX cannot cause meningococcal disease. The most common types of meningococcal disease are
meningitis (infection of a lining around the brain and spinal cord) and septicaemia (blood infection).  Neisseria bacteria can less commonly infect the joints, lungs or other organs.
Meningococcal disease is spread by small droplets from the nose, mouth or throat. Meningococcal disease is
generally serious and sometimes causes long-term effects (e.g. deafness, memory problems, loss of
fingers or toes), or death.
As with all vaccines, NIMENRIX may not protect all people who arevaccinated.
Also, NIMENRIX does not help to protect against meningococcal disease caused by other types of Neisseria, or meningitis caused by other bacteria or viruses. NIMENRIX can be used in infants from 6 weeks of age, children and
adults. NIMENRIX may also be prescribed for other people or situations.
If you are not sure whether you or your child should be given this vaccine, talk to your doctor.","Mild pain, redness and swelling around injection site
Fever
Children:
Irritability
Drowsiness
Decreased appetite
Adults:
Headache
Fatigue
Nausea, vomiting and/or diarrhoea","Extensive limb swelling
As with any medicine, very rarely a severe allergic reaction (anaphylaxis) can occur following immunisation.",https://www.immune.org.nz/vaccines/available-vaccines/nimenrix,,,,
CVX,143,,,Adenovirus types 4 and 7,Active,ADENO,,,82,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,54,,,"adenovirus, type 4",Inactive,ADENO,,,82,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,55,,,"adenovirus, type 7",Inactive,ADENO,,,82,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
CVX,82,,,"adenovirus, unspecified formulation",Inactive,ADENO,,,82,,,,,,,https://www.immune.org.nz/vaccines/available-vaccines,,,,
